id,reason,title,body,how,title-length,body-length
1798435,API_USAGE,Android - How can I link my free app to the Pro version,"How can I link my free android application to the ""paid"" version so a user of the free one can instantly click on the link and be taken to the android market page for the full version. ",How can I,55,185
1798435,API_USAGE,Android - How can I link my free app to the Pro version,"How can I link my free android application to the ""paid"" version so a user of the free one can instantly click on the link and be taken to the android market page for the full version. ",How can I,55,185
1702323,CONCEPTUAL,Android Available Ram,"How much RAM is available for use by each app?    I read somewhere that each app could only use a max of 16 mb, but the total system memory is much higher.   ",How much RAM is available for use by each app?,21,158
1981156,CONCEPTUAL,"Android - Loading, please wait","Is there a standard ""Loading, please wait"" dialog I can use in Android development, when I invoke some AsyncTask downloading some data from remote service for example? ","Is there a standard """"Loading, please wait"""" dialog",30,168
2072244,REVIEW,Android: What is better - multiple activities or switching views manually?,"I have developed some apps for Android, and this questions stays always:  How should I structure my UI? Should I launch activity after activity and leave the phone to make the ""back"" button, or should I choose more optimized, but more complex to implement, way with switching manually Views and then manually doing the ""Back"" button functionality?  What do you think or know is the better practice? ",What is better - multiple activities or switching views manually?,74,399
2072244,CONCEPTUAL,Android: What is better - multiple activities or switching views manually?,"I have developed some apps for Android, and this questions stays always:  How should I structure my UI? Should I launch activity after activity and leave the phone to make the ""back"" button, or should I choose more optimized, but more complex to implement, way with switching manually Views and then manually doing the ""Back"" button functionality?  What do you think or know is the better practice? ",How should I structure my UI?,74,399
2072244,REVIEW,Android: What is better - multiple activities or switching views manually?,"I have developed some apps for Android, and this questions stays always:  How should I structure my UI? Should I launch activity after activity and leave the phone to make the ""back"" button, or should I choose more optimized, but more complex to implement, way with switching manually Views and then manually doing the ""Back"" button functionality?  What do you think or know is the better practice? ","Should I launch activity after activity and leave the phone to make the """"back"""" button, or should I choose",74,399
2072244,REVIEW,Android: What is better - multiple activities or switching views manually?,"I have developed some apps for Android, and this questions stays always:  How should I structure my UI? Should I launch activity after activity and leave the phone to make the ""back"" button, or should I choose more optimized, but more complex to implement, way with switching manually Views and then manually doing the ""Back"" button functionality?  What do you think or know is the better practice? ",What do you think (or know) is the better practice?,74,399
2285150,DISCREPANCY,Layout buttons so each divides up the space equally,"Im using a LinearLayout to put two buttons horizontally side-by-side, but I want to each button to size itself to use 50% of the horizontal space. I thought layout_weight of ""1"" for each button would do the trick, but maybe my layout_width needs to be changed? ","I thought layout_weight of """"1"""" for each button would do the trick, but maybe",51,261
2424488,REVIEW,"New Intent starts new instance with Android: launchMode=""singleTop""","I have Activity A with android:launchMode=""singleTop"" in the manifest.  If I go to Activity B, C, and D there I have menu shortcuts to return to my applications root activity A.  The code looks like this:    However, instead of returning to the already existing instance A of my  it creates a new instance -> it goes to  instead of .  This is not the expected behavior, right? ","This is not the expected behavior, right?",67,377
2643993,API_USAGE,How to display a route between two geocoords in google maps?,"   Possible Duplicate:   J2MEAndroidBlackBerry - driving directions, route between two locations       I'm just writing an App for displaying the route between two coords lat, long in google maps view. Displaying an single coord even with a marker works fine, but how to draw route between two point with 2 markers?  I must admit that I'm quite new to Android and the maps-API... ",How to,60,380
2643993,API_USAGE,How to display a route between two geocoords in google maps?,"   Possible Duplicate:   J2MEAndroidBlackBerry - driving directions, route between two locations       I'm just writing an App for displaying the route between two coords lat, long in google maps view. Displaying an single coord even with a marker works fine, but how to draw route between two point with 2 markers?  I must admit that I'm quite new to Android and the maps-API... ",how to,60,380
2644656,REVIEW,Expression parser library for Android,"What is the best way to evaluate simple conditional statements like:    Expressions are loaded from external file. Variables are set in application.  Syntax used is not essential. It may be ""&amp;"" or ""and"" or any other supported with languagelibrary.  I need to take different action depending on result of evaluation - is it true or false.  Could I use any parser already included with Andorid?  Is there some way to use JS ""eval"" from browser component?  Is it possible to use sqlite expressions to get truefalse result without selecting anything?  Those libraries are implemented in native code. Will it be faster and less battery expensive? ",What is the best way to,37,646
2644656,CONCEPTUAL,Expression parser library for Android,"What is the best way to evaluate simple conditional statements like:    Expressions are loaded from external file. Variables are set in application.  Syntax used is not essential. It may be ""&amp;"" or ""and"" or any other supported with languagelibrary.  I need to take different action depending on result of evaluation - is it true or false.  Could I use any parser already included with Andorid?  Is there some way to use JS ""eval"" from browser component?  Is it possible to use sqlite expressions to get truefalse result without selecting anything?  Those libraries are implemented in native code. Will it be faster and less battery expensive? ",Is there some way to,37,646
2644656,CONCEPTUAL,Expression parser library for Android,"What is the best way to evaluate simple conditional statements like:    Expressions are loaded from external file. Variables are set in application.  Syntax used is not essential. It may be ""&amp;"" or ""and"" or any other supported with languagelibrary.  I need to take different action depending on result of evaluation - is it true or false.  Could I use any parser already included with Andorid?  Is there some way to use JS ""eval"" from browser component?  Is it possible to use sqlite expressions to get truefalse result without selecting anything?  Those libraries are implemented in native code. Will it be faster and less battery expensive? ",Is it possible to,37,646
2644656,CONCEPTUAL,Expression parser library for Android,"What is the best way to evaluate simple conditional statements like:    Expressions are loaded from external file. Variables are set in application.  Syntax used is not essential. It may be ""&amp;"" or ""and"" or any other supported with languagelibrary.  I need to take different action depending on result of evaluation - is it true or false.  Could I use any parser already included with Andorid?  Is there some way to use JS ""eval"" from browser component?  Is it possible to use sqlite expressions to get truefalse result without selecting anything?  Those libraries are implemented in native code. Will it be faster and less battery expensive? ",Will it be faster and less battery expensive?,37,646
2644656,CONCEPTUAL,Expression parser library for Android,"What is the best way to evaluate simple conditional statements like:    Expressions are loaded from external file. Variables are set in application.  Syntax used is not essential. It may be ""&amp;"" or ""and"" or any other supported with languagelibrary.  I need to take different action depending on result of evaluation - is it true or false.  Could I use any parser already included with Andorid?  Is there some way to use JS ""eval"" from browser component?  Is it possible to use sqlite expressions to get truefalse result without selecting anything?  Those libraries are implemented in native code. Will it be faster and less battery expensive? ",Could I use,37,646
